mode,k,algorithm,acc,acc_sdev,n_labels[b],n_labels[u],n_labels[r],n_labels[c],n_labels[g],n_labels,b.b,b.u,b.r,b.c,b.g,u.b,u.u,u.r,u.c,u.g,r.b,r.u,r.r,r.c,r.g,c.b,c.u,c.r,c.c,c.g,g.b,g.u,g.r,g.c,g.g
layers,1,lgc,0.696,0.0,1,1,1,1,1,5,0.405,0.363,0.143,0.089,0.0,0.075,0.698,0.094,0.094,0.038,0.059,0.078,0.824,0.039,0.0,0.0,0.077,0.314,0.609,0.0,0.0,0.0,0.01,0.0,0.99
layers,2,lgc,0.73,0.0,2,2,2,2,2,10,0.643,0.214,0.089,0.054,0.0,0.245,0.651,0.075,0.009,0.019,0.098,0.078,0.824,0.0,0.0,0.173,0.045,0.244,0.538,0.0,0.0,0.0,0.01,0.0,0.99
layers,3,lgc,0.782,0.0,3,3,3,3,3,15,0.762,0.119,0.065,0.054,0.0,0.377,0.528,0.066,0.009,0.019,0.118,0.098,0.765,0.02,0.0,0.096,0.058,0.103,0.744,0.0,0.0,0.0,0.01,0.0,0.99
layers,4,lgc,0.813,0.0,4,4,4,4,4,20,0.821,0.095,0.03,0.054,0.0,0.434,0.547,0.009,0.009,0.0,0.137,0.118,0.725,0.02,0.0,0.077,0.058,0.051,0.814,0.0,0.01,0.0,0.0,0.0,0.99
layers,5,lgc,0.811,0.0,5,5,5,5,5,25,0.833,0.083,0.03,0.054,0.0,0.453,0.528,0.009,0.009,0.0,0.137,0.118,0.725,0.02,0.0,0.077,0.045,0.064,0.814,0.0,0.01,0.0,0.0,0.0,0.99
layers,6,lgc,0.818,0.0,6,6,6,6,6,30,0.833,0.083,0.03,0.054,0.0,0.462,0.519,0.009,0.009,0.0,0.118,0.118,0.745,0.02,0.0,0.051,0.045,0.058,0.846,0.0,0.01,0.0,0.0,0.0,0.99
layers,0.01,lgc,0.738,0.0,2,2,1,2,2,9,0.673,0.214,0.06,0.054,0.0,0.255,0.651,0.066,0.009,0.019,0.137,0.118,0.725,0.02,0.0,0.288,0.058,0.083,0.571,0.0,0.0,0.0,0.01,0.0,0.99
layers,0.02,lgc,0.805,0.0,4,3,2,4,4,17,0.833,0.083,0.03,0.054,0.0,0.481,0.472,0.009,0.009,0.028,0.196,0.059,0.725,0.02,0.0,0.09,0.045,0.051,0.814,0.0,0.01,0.0,0.0,0.0,0.99
layers,0.03,lgc,0.815,0.0,6,4,2,5,6,23,0.905,0.042,0.018,0.036,0.0,0.538,0.425,0.009,0.009,0.019,0.196,0.059,0.725,0.02,0.0,0.141,0.0,0.038,0.821,0.0,0.01,0.0,0.0,0.0,0.99
layers,0.04,lgc,0.821,0.0,7,5,3,7,8,30,0.857,0.042,0.024,0.077,0.0,0.538,0.434,0.009,0.009,0.009,0.157,0.059,0.765,0.02,0.0,0.045,0.038,0.032,0.885,0.0,0.01,0.0,0.0,0.0,0.99
layers,0.05,lgc,0.844,0.0,9,6,3,8,10,36,0.935,0.03,0.018,0.018,0.0,0.547,0.434,0.009,0.009,0.0,0.235,0.059,0.706,0.0,0.0,0.058,0.0,0.019,0.923,0.0,0.01,0.0,0.0,0.0,0.99
